rpdzkj@95:~/fourth/loh95/testRecord$ iperf3 -s -i 60
-----------------------------------------------------------
Server listening on 5201
-----------------------------------------------------------
Accepted connection from 192.168.1.169, port 56888
[  5] local 192.168.1.95 port 5201 connected to 192.168.1.169 port 46409
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5] 7500.00-7560.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  276/4946046 (0.0056%)
[  5] 7560.00-7620.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  131/4948826 (0.0026%)
[  5] 7620.00-7680.00 sec  6.67 GBytes   955 Mbits/sec  0.019 ms  571/4947610 (0.012%)
[  5] 7680.00-7740.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  12/4949032 (0.00024%)
[  5] 7740.00-7800.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  14/4946767 (0.00028%)
[  5] 7800.00-7860.00 sec  6.67 GBytes   955 Mbits/sec  0.022 ms  153/4945335 (0.0031%)
[  5] 7860.00-7920.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  119/4945832 (0.0024%)
[  5] 7920.00-7980.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  220/4946660 (0.0044%)
[  5] 7980.00-8040.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4945039 (0%)
[  5] 8040.00-8100.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  127/4947755 (0.0026%)
[  5] 8100.00-8160.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  0/4946237 (0%)
[  5] 8160.00-8220.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  0/4945901 (0%)
[  5] 8220.00-8280.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  0/4944819 (0%)
[  5] 8280.00-8340.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  103/4950493 (0.0021%)
[  5] 8340.00-8400.00 sec  6.67 GBytes   955 Mbits/sec  0.028 ms  0/4946424 (0%)
[  5] 8400.00-8460.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4947379 (0%)
[  5] 8460.00-8520.00 sec  6.68 GBytes   956 Mbits/sec  0.016 ms  349/4951964 (0.007%)
[  5] 8520.00-8580.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  128/4945229 (0.0026%)
[  5] 8580.00-8640.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  28/4945606 (0.00057%)
[  5] 8640.00-8700.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4944342 (0%)
[  5] 8700.00-8760.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  0/4946407 (0%)
[  5] 8760.00-8820.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  0/4946090 (0%)
[  5] 8820.00-8880.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  0/4946036 (0%)
[  5] 8880.00-8940.00 sec  6.67 GBytes   954 Mbits/sec  0.018 ms  96/4942545 (0.0019%)
[  5] 8940.00-9000.00 sec  6.67 GBytes   955 Mbits/sec  0.027 ms  0/4945738 (0%)
[  5] 9000.00-9060.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  13/4946541 (0.00026%)
[  5] 9060.00-9120.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  29/4947415 (0.00059%)
[  5] 9120.00-9180.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  137/4947477 (0.0028%)
[  5] 9180.00-9240.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  127/4948930 (0.0026%)
[  5] 9240.00-9300.00 sec  6.67 GBytes   955 Mbits/sec  0.024 ms  241/4948951 (0.0049%)
[  5] 9300.00-9360.00 sec  6.67 GBytes   956 Mbits/sec  0.025 ms  0/4949298 (0%)
[  5] 9360.00-9420.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4948514 (0%)
[  5] 9420.00-9480.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  0/4948935 (0%)
[  5] 9480.00-9540.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4946450 (0%)
[  5] 9540.00-9600.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  40/4948351 (0.00081%)
[  5] 9600.00-9660.00 sec  6.67 GBytes   955 Mbits/sec  0.026 ms  143/4946451 (0.0029%)
[  5] 9660.00-9720.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  107/4946716 (0.0022%)
[  5] 9720.00-9780.00 sec  6.67 GBytes   955 Mbits/sec  0.017 ms  227/4945588 (0.0046%)
[  5] 9780.00-9840.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  347/4947832 (0.007%)
[  5] 9840.00-9900.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4945606 (0%)
[  5] 9900.00-9960.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  139/4944259 (0.0028%)
[  5] 9960.00-10020.00 sec  6.67 GBytes   954 Mbits/sec  0.014 ms  264/4942825 (0.0053%)
[  5] 10020.00-10080.00 sec  6.66 GBytes   954 Mbits/sec  0.022 ms  220/4941504 (0.0045%)
[  5] 10080.00-10140.00 sec  6.67 GBytes   954 Mbits/sec  0.016 ms  220/4942932 (0.0045%)
[  5] 10140.00-10200.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  257/4944602 (0.0052%)
[  5] 10200.00-10260.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  215/4946002 (0.0043%)
[  5] 10260.00-10320.00 sec  6.67 GBytes   955 Mbits/sec  0.018 ms  0/4945983 (0%)
[  5] 10320.00-10380.00 sec  6.67 GBytes   955 Mbits/sec  0.022 ms  0/4948370 (0%)
[  5] 10380.00-10440.00 sec  6.66 GBytes   954 Mbits/sec  0.026 ms  0/4941139 (0%)
[  5] 10440.00-10500.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  138/4945294 (0.0028%)
[  5] 10500.00-10560.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4946814 (0%)
[  5] 10560.00-10620.00 sec  6.67 GBytes   955 Mbits/sec  0.016 ms  0/4946831 (0%)
[  5] 10620.00-10680.00 sec  6.67 GBytes   955 Mbits/sec  0.025 ms  0/4944223 (0%)
[  5] 10680.00-10740.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  316/4945894 (0.0064%)
[  5] 10740.00-10800.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  152/4950349 (0.0031%)
[  5] 10800.00-10860.00 sec  6.68 GBytes   956 Mbits/sec  0.019 ms  39/4952996 (0.00079%)
[  5] 10860.00-10920.00 sec  6.68 GBytes   956 Mbits/sec  0.018 ms  24/4951732 (0.00048%)
[  5] 10920.00-10980.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  44/4953217 (0.00089%)
[  5] 10980.00-11040.00 sec  6.68 GBytes   956 Mbits/sec  0.025 ms  165/4951500 (0.0033%)
[  5] 11040.00-11100.00 sec  6.68 GBytes   956 Mbits/sec  0.017 ms  287/4952563 (0.0058%)
[  5] 11100.00-11160.00 sec  6.68 GBytes   956 Mbits/sec  0.026 ms  315/4951730 (0.0064%)
[  5] 11160.00-11220.00 sec  6.68 GBytes   956 Mbits/sec  0.015 ms  169/4950047 (0.0034%)
[  5] 11220.00-11280.00 sec  6.67 GBytes   955 Mbits/sec  0.015 ms  164/4945875 (0.0033%)
